TIME,EMG1,EMG2,EMG3,EMG4,EMG5,THUMB,MIDDLE,LITTLE
43:13.6,730,731,759,732,708,1,1,1
43:13.6,735,735,771,739,715,1,1,1
43:13.6,724,716,773,733,712,1,1,1
43:13.6,735,735,754,739,714,1,1,1
43:13.7,727,734,777,731,712,1,1,1
43:13.7,731,730,774,735,712,1,1,1
43:13.7,730,734,771,744,715,1,1,1
43:13.7,734,731,773,735,719,1,1,1
43:13.8,728,733,815,744,714,1,1,1
43:13.8,735,738,782,739,708,1,1,1
43:13.8,731,732,771,735,719,1,1,1
43:13.8,725,727,871,751,728,1,1,1
43:13.8,726,729,786,730,710,1,1,1
43:13.9,726,730,753,733,709,1,1,1
43:13.9,706,719,776,727,739,1,1,1
43:13.9,707,735,784,736,703,1,1,1
43:13.9,740,726,771,731,711,1,1,1
43:13.9,730,722,770,730,703,1,1,1
43:13.9,735,751,769,736,714,1,1,1
43:13.9,708,736,769,729,723,1,1,1
43:14.0,743,739,763,747,715,1,1,1
43:14.0,754,739,792,739,722,1,1,1
43:14.1,730,743,783,731,722,1,1,1
43:14.1,759,742,816,758,716,1,1,1
43:14.1,727,745,768,748,722,1,1,1
43:14.1,722,731,761,730,715,1,1,1
43:14.1,735,736,775,718,719,1,1,1
43:14.1,732,736,764,769,711,1,1,1
43:14.1,731,735,796,715,787,1,1,1
43:14.2,746,737,809,739,723,1,1,1
43:14.2,736,745,783,741,715,1,1,1
43:14.2,732,735,768,739,718,1,1,1
43:14.2,728,731,774,741,718,1,1,1
43:14.2,750,734,762,743,729,1,1,1
43:14.3,720,728,778,737,714,1,1,1
43:14.3,733,748,760,747,716,1,1,1
43:14.3,741,732,833,737,741,1,1,1
43:14.3,723,730,728,731,724,1,1,1
43:14.3,746,738,773,739,789,1,1,1
43:14.4,750,728,771,723,715,1,1,1
43:14.4,736,732,771,743,713,1,1,1
43:14.4,741,735,659,735,718,1,1,1
43:14.4,730,724,814,759,717,1,1,1
43:14.5,741,742,805,749,753,1,1,1
43:14.5,739,735,746,731,739,1,1,1
43:14.5,733,739,764,712,717,1,1,1
43:14.5,731,740,778,736,720,1,1,1
43:14.5,723,723,755,723,716,1,1,1
43:14.6,734,725,761,731,717,1,1,1
43:14.6,727,728,757,745,710,1,1,1
43:14.6,731,731,771,743,732,1,1,1
43:14.6,725,721,749,731,719,1,1,1
43:14.6,735,735,789,746,701,1,1,1
43:14.7,735,733,795,739,722,1,1,1
43:14.7,735,735,783,747,719,1,1,1
43:14.7,731,731,752,723,716,1,1,1
43:14.7,732,742,779,737,724,1,1,1
43:14.8,733,705,780,740,720,1,1,1
43:14.8,731,732,772,735,715,1,1,1
43:14.8,723,728,765,747,710,1,1,1
43:14.8,716,748,775,737,715,1,1,1
43:14.8,737,739,767,733,718,1,1,1
43:14.9,720,730,764,736,716,1,1,1
43:14.9,732,728,766,736,717,1,1,1
43:14.9,725,707,771,732,710,1,1,1
43:14.9,725,720,763,726,712,1,1,1
43:14.9,730,721,767,738,720,1,1,1
43:14.9,738,736,776,727,724,1,1,1
43:14.9,739,744,774,757,723,1,1,1
43:14.9,738,732,773,762,719,1,1,1
43:14.9,747,735,779,735,722,1,1,1
43:15.0,738,732,816,746,725,1,1,1
43:15.0,739,738,802,749,713,1,1,1
43:15.0,731,731,775,740,714,1,1,1
43:15.1,737,738,784,753,724,1,1,1
43:15.1,732,739,776,746,736,1,1,1
43:15.1,740,737,827,734,728,1,1,1
43:15.1,733,739,786,739,731,1,1,1
43:15.2,742,771,771,748,723,1,1,1
43:15.2,742,742,787,741,715,1,1,1
43:15.2,743,757,779,752,728,1,1,1
43:15.2,741,721,817,744,724,1,1,1
43:15.2,737,735,746,744,722,1,1,1
43:15.3,740,746,794,747,723,1,1,1
43:15.3,740,743,772,750,723,1,1,1
43:15.3,735,727,769,729,719,1,1,1
43:15.3,738,737,702,736,723,1,1,1
43:15.3,742,743,781,792,722,1,1,1
43:15.4,743,742,766,734,720,1,1,1
43:15.4,770,732,781,734,720,1,1,1
43:15.4,739,731,671,739,725,1,1,1
43:15.4,732,731,764,744,728,1,1,1
43:15.5,735,735,789,757,731,1,1,1
43:15.5,733,731,777,737,717,1,1,1
43:15.5,732,738,778,739,729,1,1,1
43:15.5,726,723,745,735,734,1,1,1
43:15.5,730,724,755,730,713,1,1,1
43:15.6,727,727,767,733,707,1,1,1
43:15.6,718,728,787,730,718,1,1,1
43:15.6,725,719,762,729,719,1,1,1
43:15.6,726,706,756,728,712,1,1,1
43:15.6,731,732,743,739,715,1,1,1
43:15.6,740,718,789,738,719,1,1,1
43:15.6,732,739,792,740,717,1,1,1
43:15.7,733,726,743,744,723,1,1,1
43:15.7,737,737,733,737,719,1,1,1
43:15.7,735,732,772,744,728,1,1,1
43:15.7,733,731,790,736,723,1,1,1
43:15.7,738,733,780,698,720,1,1,1
43:15.8,737,736,771,727,723,1,1,1
43:15.8,735,729,775,758,724,1,1,1
43:15.8,733,728,820,731,725,1,1,1
43:15.8,737,739,771,755,715,1,1,1
43:15.8,730,731,760,731,721,1,1,1
43:15.9,729,729,796,740,714,1,1,1
43:15.9,733,739,751,737,727,1,1,1
43:15.9,737,729,807,735,721,1,1,1
43:15.9,733,735,771,741,713,1,1,1
43:15.9,731,732,756,731,722,1,1,1
43:15.9,730,729,755,735,715,1,1,1
43:15.9,726,683,760,734,728,1,1,1
43:16.0,731,731,761,735,717,1,1,1
43:16.0,734,739,769,744,715,1,1,1
43:16.1,732,730,782,733,710,1,1,1
43:16.1,735,741,747,738,724,1,1,1
43:16.1,735,732,796,739,731,1,1,1
43:16.1,734,724,802,740,715,1,1,1
43:16.1,731,731,763,745,720,1,1,1
43:16.2,732,734,696,731,719,1,1,1
43:16.2,739,737,778,745,719,1,1,1
43:16.2,738,735,777,731,718,1,1,1
43:16.2,738,734,761,742,723,1,1,1
43:16.3,732,736,772,742,724,1,1,1
43:16.3,737,735,771,732,723,1,1,1
43:16.3,733,732,738,748,721,1,1,1
43:16.3,736,736,774,745,720,1,1,1
43:16.3,735,726,718,731,737,1,1,1
43:16.3,736,734,831,736,737,1,1,1
43:16.3,733,723,774,743,731,1,1,1
43:16.4,736,735,748,738,723,1,1,1
43:16.4,731,729,754,747,720,1,1,1
43:16.4,731,734,775,743,730,1,1,1
43:16.4,734,738,770,741,710,1,1,1
43:16.4,735,703,775,750,716,1,1,1
43:16.5,729,740,767,738,715,1,1,1
43:16.5,727,742,753,733,710,1,1,1
43:16.5,727,711,763,726,711,1,1,1
43:16.5,732,751,762,731,718,1,1,1
43:16.5,727,727,774,735,716,1,1,1
43:16.6,730,724,774,735,713,1,1,1
43:16.6,728,731,758,727,711,1,1,1
43:16.6,729,733,747,742,719,1,1,1
43:16.6,739,735,764,729,721,1,1,1
43:16.7,735,736,766,712,717,1,1,1
43:16.7,731,731,763,715,716,1,1,1
43:16.7,730,727,763,724,718,1,1,1
43:16.7,730,734,763,729,716,1,1,1
43:16.7,734,728,765,730,720,1,1,1
43:16.8,724,726,757,707,727,1,1,1
43:16.8,725,722,758,744,717,1,1,1
43:16.8,720,725,758,729,712,1,1,1
43:16.8,720,723,745,719,707,1,1,1
43:16.8,723,728,738,727,711,1,1,1
43:16.9,723,727,761,716,708,1,1,1
43:16.9,722,714,751,727,723,1,1,1
43:16.9,724,738,745,731,699,1,1,1
43:16.9,730,737,746,731,708,1,1,1
43:16.9,717,734,762,724,715,1,1,1
43:16.9,726,718,758,728,711,1,1,1
43:16.9,725,730,763,716,707,1,1,1
43:17.0,731,727,757,724,714,1,1,1
43:17.0,747,730,762,730,713,1,1,1
43:17.0,727,726,762,736,708,1,1,1
43:17.0,723,723,757,730,709,1,1,1
43:17.1,729,728,760,725,711,1,1,1
43:17.1,724,727,752,719,707,1,1,1
43:17.1,727,730,763,730,715,1,1,1
43:17.1,726,726,762,712,708,1,1,1
43:17.1,723,728,760,732,739,1,1,1
43:17.2,726,725,777,723,723,1,1,1
43:17.2,710,726,776,730,704,1,1,1
